epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.811,0.0131,1.57335,2.08737,0.39535,0.26626,0.26077,0.08613,0.0154,1.52657,2.51995,0.000658333,0.000658333,0.000658333
2,76.5875,0.01229,1.25697,2.00649,0.42771,0.37602,0.31231,0.10176,0.016,1.5249,2.57529,0.00119382,0.00119382,0.00119382
3,107.603,0.01234,1.16937,2.02863,0.48232,0.39024,0.39878,0.12065,0.01613,1.28307,2.5599,0.00159732,0.00159732,0.00159732
4,137.62,0.01199,1.11083,2.01707,0.56581,0.45528,0.47266,0.15767,0.01565,1.16666,2.49675,0.001406,0.001406,0.001406
5,167.726,0.0119,1.02506,2.00406,0.56391,0.44309,0.43563,0.13681,0.01635,1.21102,2.56777,0.001208,0.001208,0.001208
6,197.965,0.01158,0.97868,1.98105,0.57461,0.43293,0.47312,0.15997,0.01579,1.11756,2.52159,0.00101,0.00101,0.00101
7,228.837,0.0114,0.9401,1.96411,0.61838,0.50813,0.54314,0.20497,0.01502,1.0471,2.39136,0.000812,0.000812,0.000812
8,259.577,0.01111,0.89474,1.91444,0.66524,0.45122,0.51619,0.19259,0.01491,1.05928,2.42856,0.000614,0.000614,0.000614
9,289.859,0.01079,0.83758,1.8813,0.69071,0.51626,0.5783,0.20134,0.01518,0.99303,2.42504,0.000416,0.000416,0.000416
10,320.431,0.0105,0.8029,1.84384,0.66634,0.50203,0.55314,0.19725,0.01533,0.99832,2.46388,0.000218,0.000218,0.000218
