epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,388.009,1.98127,2.64849,2.07639,0.34114,0.21951,0.16822,0.04404,2.27075,2.87981,2.36538,0.00065812,0.00065812,0.00065812
2,764.693,1.85993,2.16792,2.01211,0.34954,0.3374,0.24518,0.07616,2.37611,2.96659,2.55403,0.00119363,0.00119363,0.00119363
3,1207.91,1.8802,2.01898,2.00649,0.39876,0.37805,0.32906,0.11877,2.32051,2.47475,2.39027,0.00159715,0.00159715,0.00159715
4,1634.51,1.8546,1.92141,1.98102,0.40611,0.36971,0.31496,0.09717,2.43973,2.28359,2.46229,0.001406,0.001406,0.001406
5,2008.73,1.80962,1.79158,1.93706,0.59597,0.40041,0.42969,0.15378,2.32662,2.02346,2.37837,0.001208,0.001208,0.001208
6,2386.06,1.77948,1.7077,1.90243,0.57163,0.45732,0.47588,0.15464,2.26574,2.02949,2.29714,0.00101,0.00101,0.00101
7,2751.12,1.73966,1.58326,1.85062,0.58561,0.48984,0.50991,0.18062,2.26208,1.97237,2.28709,0.000812,0.000812,0.000812
8,3134.78,1.69234,1.4979,1.8347,0.58592,0.51016,0.50993,0.18739,2.22397,1.81061,2.20452,0.000614,0.000614,0.000614
9,3506.04,1.64016,1.42798,1.77742,0.59139,0.53862,0.5378,0.20306,2.17419,1.70264,2.17703,0.000416,0.000416,0.000416
10,3875.25,1.60462,1.37789,1.75782,0.64702,0.5,0.53442,0.19985,2.20664,1.72203,2.20851,0.000218,0.000218,0.000218
